device,useragent
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64) AppleWebKit/536.22 (KHTML, like Gecko) Chrome/48.0.1316.396 Safari/600.0 Edge/15.48455"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_7; like Mac OS X) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/47.0.2416.370 Mobile Safari/602.4"
linux,Mozilla/5.0 (Linux; U; Linux i652 x86_64; en-US) Gecko/20100101 Firefox/60.5
edge,"Mozilla/5.0 (Windows; Windows NT 10.3;) AppleWebKit/536.46 (KHTML, like Gecko) Chrome/47.0.2299.221 Safari/601.3 Edge/12.61944"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2;) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/47.0.2818.171 Safari/533"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.2; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; x64 Trident/6.0)
android,"Mozilla/5.0 (Linux; Android 5.1; SAMSUNG SM-G935S Build/MMB29M) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/54.0.1993.382 Mobile Safari/533.8"
windows,"Mozilla/5.0 (Windows NT 10.4; Win64; x64; en-US) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/53.0.2075.320 Safari/601.0 Edge/15.62054"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2;; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_7_1 like Mac OS X) AppleWebKit/601.20 (KHTML, like Gecko) Chrome/47.0.3261.192 Mobile Safari/601.5"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_5) AppleWebKit/601.48 (KHTML, like Gecko) Chrome/49.0.3076.137 Safari/602"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_2) AppleWebKit/536.35 (KHTML, like Gecko) Chrome/52.0.2645.260 Safari/603"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; x64; en-US) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/47.0.1744.387 Safari/536.6 Edge/9.13743"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_2_2 like Mac OS X) AppleWebKit/533.22 (KHTML, like Gecko) Chrome/51.0.2887.394 Mobile Safari/536.2"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; WOW64 Trident/6.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0; SM-G440 Build/LRX22C) AppleWebKit/602.32 (KHTML, like Gecko) Chrome/54.0.1705.245 Mobile Safari/601.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3; Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_5_8) Gecko/20130401 Firefox/51.5
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_1) AppleWebKit/537.37 (KHTML, like Gecko) Chrome/47.0.2037.155 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1;; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; Win64; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Android; Android 7.0; Pixel C Build/NRD90M) AppleWebKit/600.23 (KHTML, like Gecko) Chrome/53.0.1631.231 Mobile Safari/537.0"
windows,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/535.39 (KHTML, like Gecko) Chrome/48.0.3852.166 Safari/535"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_6; like Mac OS X) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/52.0.3587.337 Mobile Safari/601.3"
android,"Mozilla/5.0 (Linux; Android 5.0.2; Nokia 1100 4G Build/GRK39F) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/49.0.1734.170 Mobile Safari/600.3"
linux,"Mozilla/5.0 (Linux; Linux i552 x86_64; en-US) AppleWebKit/600.10 (KHTML, like Gecko) Chrome/54.0.1802.229 Safari/534"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/47.0.3697.210 Safari/602"
linux,Mozilla/5.0 (Linux; Linux i571 x86_64) Gecko/20100101 Firefox/52.0
edge,"Mozilla/5.0 (Windows NT 10.4; x64) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/47.0.2256.181 Safari/535.3 Edge/18.26410"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/50.0.2045.307 Safari/600"
android,"Mozilla/5.0 (Linux; Android 6.0; HTC One801e dual sim Build/MRA58K) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/51.0.2493.178 Mobile Safari/603.6"
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/69.5
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64; en-US) Gecko/20130401 Firefox/49.3
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_1; en-US) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/50.0.3486.280 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_7_0; like Mac OS X) AppleWebKit/602.11 (KHTML, like Gecko) Chrome/52.0.1535.257 Mobile Safari/603.9"
android,"Mozilla/5.0 (Linux; Android 5.0; LG-D712 Build/LRX22G) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/54.0.1603.149 Mobile Safari/600.6"
firefox,Mozilla/5.0 (Windows NT 10.1; x64; en-US) Gecko/20100101 Firefox/48.9
mobile,"Mozilla/5.0 (Linux; Android 4.4; SAMSUNG SM-G900W8 Build/KOT49H) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/51.0.2072.254 Mobile Safari/602.0"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/600.26 (KHTML, like Gecko) Chrome/54.0.3726.204 Safari/535.6 Edge/8.68119"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4;) AppleWebKit/603.24 (KHTML, like Gecko) Chrome/51.0.2805.374 Safari/533.3 Edge/9.91943"
edge,"Mozilla/5.0 (Windows NT 10.5; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/47.0.1597.221 Safari/601.4 Edge/9.28508"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;) AppleWebKit/535.39 (KHTML, like Gecko) Chrome/47.0.2319.237 Safari/601.6 Edge/18.96871"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/53.0.3335.275 Safari/533.1 Edge/10.80080"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_5; like Mac OS X) AppleWebKit/535.15 (KHTML, like Gecko) Chrome/55.0.3387.233 Mobile Safari/600.2"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/49.5
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; WOW64; en-US Trident/6.0)
firefox,Mozilla/5.0 (Linux i574 x86_64; en-US) Gecko/20130401 Firefox/47.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_6; like Mac OS X) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/54.0.3099.157 Mobile Safari/537.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_4; like Mac OS X) AppleWebKit/533.13 (KHTML, like Gecko) Chrome/54.0.2734.251 Mobile Safari/600.9"
android,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G920L Build/MMB29K) AppleWebKit/602.43 (KHTML, like Gecko) Chrome/51.0.1103.207 Mobile Safari/536.7"
android,"Mozilla/5.0 (Android; Android 4.4.1; XT1070 Build/SU6-7.3) AppleWebKit/600.4 (KHTML, like Gecko) Chrome/51.0.3080.186 Mobile Safari/601.4"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) Gecko/20130401 Firefox/52.1
linux,Mozilla/5.0 (Linux; U; Linux i545 x86_64) Gecko/20100101 Firefox/68.2
windows,Mozilla/5.0 (Windows NT 6.0; WOW64; en-US) Gecko/20130401 Firefox/52.2
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_0_7; like Mac OS X) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/50.0.1670.345 Mobile Safari/537.8"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1; en-US) Gecko/20130401 Firefox/69.2
windows,Mozilla/5.0 (Windows NT 10.2;) Gecko/20130401 Firefox/62.4
linux,Mozilla/5.0 (Linux; Linux i545 x86_64; en-US) Gecko/20100101 Firefox/69.2
edge,"Mozilla/5.0 (Windows NT 10.4; Win64; x64) AppleWebKit/537.43 (KHTML, like Gecko) Chrome/48.0.1595.229 Safari/536.6 Edge/14.58308"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_6) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/48.0.1594.120 Safari/603"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_4_9) Gecko/20130401 Firefox/67.7
mobile,"Mozilla/5.0 (Android; Android 4.3.1; SAMSUNG SM-G810S Build/JLS36C) AppleWebKit/600.26 (KHTML, like Gecko) Chrome/55.0.1231.382 Mobile Safari/601.1"
edge,"Mozilla/5.0 (Windows NT 10.1;; en-US) AppleWebKit/603.9 (KHTML, like Gecko) Chrome/53.0.1297.352 Safari/533.7 Edge/14.22275"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_0; like Mac OS X) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/47.0.2303.131 Mobile Safari/601.7"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/59.5
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64) AppleWebKit/537.24 (KHTML, like Gecko) Chrome/48.0.3874.293 Safari/601.9 Edge/12.25337"
windows,Mozilla/5.0 (Windows; Windows NT 10.0;) Gecko/20100101 Firefox/56.8
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_8; like Mac OS X) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/55.0.3795.289 Mobile Safari/601.8"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_0; en-US) Gecko/20100101 Firefox/54.5
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/46.4
android,"Mozilla/5.0 (Linux; U; Android 4.4.1; XT1017 Build/[KXB20.9|KXC21.5]) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/51.0.2596.165 Mobile Safari/536.8"
android,"Mozilla/5.0 (Linux; Android 4.4; Lenovo P781 Build/JRO03C) AppleWebKit/536.34 (KHTML, like Gecko) Chrome/48.0.2616.198 Mobile Safari/536.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_1; like Mac OS X) AppleWebKit/536.46 (KHTML, like Gecko) Chrome/53.0.1558.108 Mobile Safari/600.3"
edge,"Mozilla/5.0 (Windows NT 10.5; WOW64; en-US) AppleWebKit/600.42 (KHTML, like Gecko) Chrome/52.0.3506.183 Safari/537.0 Edge/14.97969"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; Trident/6.0)
chrome,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/603.15 (KHTML, like Gecko) Chrome/53.0.2483.375 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_5; like Mac OS X) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/52.0.3971.235 Mobile Safari/536.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_7_8; like Mac OS X) AppleWebKit/534.33 (KHTML, like Gecko) Chrome/53.0.2209.178 Mobile Safari/533.5"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_2) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/49.0.3660.213 Safari/537"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.1; x64; en-US Trident/4.0)
windows,Mozilla/5.0 (Windows NT 10.3; Win64; x64) Gecko/20100101 Firefox/73.0
android,"Mozilla/5.0 (Android; Android 4.4.4; ALCATEL ONE TOUCH 7026E Build/KOT49H) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/53.0.2027.210 Mobile Safari/537.1"
windows,"Mozilla/5.0 (Windows NT 10.5;; en-US) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/48.0.2888.128 Safari/602"
firefox,Mozilla/5.0 (Linux; Linux i544 ) Gecko/20100101 Firefox/60.0
edge,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/533.15 (KHTML, like Gecko) Chrome/49.0.3873.104 Safari/602.6 Edge/9.61935"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; WOW64; en-US) AppleWebKit/536.34 (KHTML, like Gecko) Chrome/54.0.1649.214 Safari/602.1 Edge/17.49222"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_6_9) Gecko/20100101 Firefox/53.0
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_0_5; en-US) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/55.0.1261.381 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_9) Gecko/20100101 Firefox/65.0
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20130401 Firefox/63.8
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_8) Gecko/20130401 Firefox/61.0
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_9_4) Gecko/20100101 Firefox/50.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_4; like Mac OS X) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/47.0.2628.319 Mobile Safari/536.2"
android,"Mozilla/5.0 (Android; Android 4.3.1; HTC Xplorer A340e Build/GRJ90) AppleWebKit/603.4 (KHTML, like Gecko) Chrome/54.0.1552.287 Mobile Safari/600.7"
linux,Mozilla/5.0 (U; Linux i653 ; en-US) Gecko/20100101 Firefox/56.4
android,"Mozilla/5.0 (Android; Android 4.4; E:number:20-23:00 Build/24.0.A.1.34) AppleWebKit/537.7 (KHTML, like Gecko) Chrome/55.0.3447.211 Mobile Safari/601.1"
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One M9 Build/MRA58K) AppleWebKit/535.42 (KHTML, like Gecko) Chrome/55.0.3930.278 Mobile Safari/533.4"
windows,"Mozilla/5.0 (Windows NT 10.1; Win64; x64) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/50.0.2335.199 Safari/534.3 Edge/14.76937"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_9; like Mac OS X) AppleWebKit/536.4 (KHTML, like Gecko) Chrome/53.0.2496.218 Mobile Safari/534.7"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.1; x64) AppleWebKit/535.38 (KHTML, like Gecko) Chrome/50.0.3550.174 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_2) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/55.0.2210.272 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.3; WOW64 Trident/7.0)
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/64.2
firefox,Mozilla/5.0 (Windows NT 6.1;; en-US) Gecko/20100101 Firefox/49.8
windows,Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) Gecko/20100101 Firefox/56.3
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/600.3 (KHTML, like Gecko) Chrome/52.0.1253.384 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1; like Mac OS X) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/47.0.3742.266 Mobile Safari/535.8"
firefox,Mozilla/5.0 (Linux; Linux i665 ) Gecko/20100101 Firefox/63.2
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; x64; en-US) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/50.0.2356.337 Safari/600.4 Edge/15.89820"
mobile,"Mozilla/5.0 (Android; Android 7.0; LG-H900 Build/NRD90C) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/54.0.2390.352 Mobile Safari/600.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_3; like Mac OS X) AppleWebKit/601.6 (KHTML, like Gecko) Chrome/50.0.1496.252 Mobile Safari/601.4"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; x64; en-US Trident/5.0)
android,"Mozilla/5.0 (Android; Android 7.0; LG-H900 Build/NRD90M) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/54.0.1856.346 Mobile Safari/601.7"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3; Win64; x64) Gecko/20130401 Firefox/51.9
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 7P Build/MMB29K) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/51.0.3161.400 Mobile Safari/600.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_0; like Mac OS X) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/49.0.1214.319 Mobile Safari/535.4"
edge,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/600.6 (KHTML, like Gecko) Chrome/55.0.3162.111 Safari/537.6 Edge/11.45562"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_3; like Mac OS X) AppleWebKit/600.38 (KHTML, like Gecko) Chrome/49.0.2569.227 Mobile Safari/535.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; WOW64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_5; like Mac OS X) AppleWebKit/537.38 (KHTML, like Gecko) Chrome/50.0.1957.351 Mobile Safari/600.0"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_9) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/55.0.2302.136 Safari/537"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_0) Gecko/20100101 Firefox/70.8
chrome,"Mozilla/5.0 (Windows NT 6.0; WOW64; en-US) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/49.0.1074.369 Safari/602"
linux,"Mozilla/5.0 (Linux; Linux i544 x86_64) AppleWebKit/537.44 (KHTML, like Gecko) Chrome/53.0.1839.162 Safari/603"
windows,"Mozilla/5.0 (Windows NT 10.4;) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/54.0.3785.350 Safari/534.5 Edge/18.86739"
android,"Mozilla/5.0 (Linux; Android 7.0; Nexus 7 Build/NPD90G) AppleWebKit/535.43 (KHTML, like Gecko) Chrome/49.0.2132.370 Mobile Safari/600.1"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.2; x64; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_5_6 like Mac OS X) AppleWebKit/601.48 (KHTML, like Gecko) Chrome/52.0.3672.245 Mobile Safari/535.8"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;; en-US) AppleWebKit/533.48 (KHTML, like Gecko) Chrome/52.0.3798.347 Safari/535.9 Edge/16.18032"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_0; like Mac OS X) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/51.0.2004.154 Mobile Safari/602.1"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/603.15 (KHTML, like Gecko) Chrome/54.0.2880.313 Safari/537"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/533.42 (KHTML, like Gecko) Chrome/52.0.2882.282 Safari/534.4 Edge/16.94922"
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/537.16 (KHTML, like Gecko) Chrome/55.0.1255.290 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.2; WOW64 Trident/5.0)
mobile,"Mozilla/5.0 (Linux; U; Android 6.0; SAMSUNG SM-D928L Build/MMB29K) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/53.0.2453.277 Mobile Safari/534.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_3; like Mac OS X) AppleWebKit/600.31 (KHTML, like Gecko) Chrome/53.0.2211.154 Mobile Safari/533.9"
edge,"Mozilla/5.0 (Windows NT 10.1; x64; en-US) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/53.0.1522.255 Safari/603.3 Edge/9.86060"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_7; like Mac OS X) AppleWebKit/602.9 (KHTML, like Gecko) Chrome/55.0.3611.316 Mobile Safari/602.9"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_8_8) Gecko/20100101 Firefox/48.0
mobile,"Mozilla/5.0 (Linux; U; Android 4.3.1; Samsung Galaxy S4 Mega GT-I8900 Build/JDQ39) AppleWebKit/534.33 (KHTML, like Gecko) Chrome/53.0.3474.155 Mobile Safari/535.0"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; x64) AppleWebKit/534.37 (KHTML, like Gecko) Chrome/52.0.1731.339 Safari/533.3 Edge/18.84644"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.1; x64; en-US Trident/6.0)
linux,"Mozilla/5.0 (Linux i542 ) AppleWebKit/601.16 (KHTML, like Gecko) Chrome/52.0.2853.185 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_9; like Mac OS X) AppleWebKit/533.33 (KHTML, like Gecko) Chrome/49.0.2144.279 Mobile Safari/535.8"
linux,"Mozilla/5.0 (Linux; U; Linux i556 ) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/53.0.1540.355 Safari/600"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_0; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/51.0.1289.206 Mobile Safari/600.2"
edge,"Mozilla/5.0 (Windows NT 10.4; x64) AppleWebKit/601.21 (KHTML, like Gecko) Chrome/49.0.2159.233 Safari/535.9 Edge/18.53212"
edge,"Mozilla/5.0 (Windows NT 10.2; WOW64; en-US) AppleWebKit/535.36 (KHTML, like Gecko) Chrome/54.0.3978.222 Safari/533.3 Edge/14.92456"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/48.0.3499.222 Safari/603.7 Edge/11.29077"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5;; en-US) AppleWebKit/600.32 (KHTML, like Gecko) Chrome/52.0.1443.125 Safari/601.0 Edge/16.66296"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/52.0.3029.178 Safari/533.5 Edge/10.16609"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_8; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/55.0.2668.179 Safari/601"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_1_0; like Mac OS X) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/47.0.1289.376 Mobile Safari/534.6"
chrome,"Mozilla/5.0 (Windows NT 10.3;) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/51.0.2239.210 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) Gecko/20100101 Firefox/52.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4; like Mac OS X) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/53.0.3710.373 Mobile Safari/601.3"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_8) AppleWebKit/535.49 (KHTML, like Gecko) Chrome/50.0.3402.214 Safari/600"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_7) AppleWebKit/603.33 (KHTML, like Gecko) Chrome/50.0.2733.200 Safari/536"
linux,Mozilla/5.0 (U; Linux i555 ; en-US) Gecko/20100101 Firefox/58.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_7; like Mac OS X) AppleWebKit/536.17 (KHTML, like Gecko) Chrome/55.0.1005.199 Mobile Safari/601.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.1; Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 4.4; SM-N8010 Build/KVT49L) AppleWebKit/602.22 (KHTML, like Gecko) Chrome/53.0.1576.208 Mobile Safari/536.1"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.1; Trident/5.0)
edge,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/54.0.1566.379 Safari/602.0 Edge/18.75837"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_6_2; like Mac OS X) AppleWebKit/602.29 (KHTML, like Gecko) Chrome/47.0.1020.175 Mobile Safari/535.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) Gecko/20130401 Firefox/59.5
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/534.9 (KHTML, like Gecko) Chrome/47.0.3822.385 Safari/600.9 Edge/18.40789"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6) AppleWebKit/603.19 (KHTML, like Gecko) Chrome/49.0.3107.240 Safari/600"
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64) AppleWebKit/533.15 (KHTML, like Gecko) Chrome/47.0.2474.369 Safari/536"
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/54.0.3548.212 Safari/533"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_4_8) AppleWebKit/535.4 (KHTML, like Gecko) Chrome/47.0.2705.215 Safari/600"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/58.1
linux,Mozilla/5.0 (Linux i586 ; en-US) Gecko/20100101 Firefox/69.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_8; like Mac OS X) AppleWebKit/534.14 (KHTML, like Gecko) Chrome/52.0.2051.331 Mobile Safari/533.8"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_9_9; like Mac OS X) AppleWebKit/603.7 (KHTML, like Gecko) Chrome/49.0.2146.200 Mobile Safari/600.7"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 10.2; x64 Trident/7.0)
